no,name
1,push up 10 kali
2,sit up 15 kali
3,angkat beban 20 kali
4,jogging 2 putaran
5,merapikan meja kamar
6,merapikan meja komputer
7,menghitung ubin kamar
8,membaca 20 halaman pertama buku apa saja
9,mengganti tangan kanan ke tangan kiri
10,menghitung jumlah buku di kamar dan catat buku yang belum selesai dibaca
11,menghapal 10 vocab english
12,menulis 1 halaman
13,menggambar benua eropa
14,meminta teman untuk bercerita kisah lucu
15,meminta teman untuk bercerita kisah sedih
16,ceritakan pengalaman lucu kepada teman
17,ceritakan kisah sedih kepada teman
18,balas slowly
19,membuang barang yg tak diperlukan yang ada di kamar
20,menulis 1 halaman dalam bahasa inggris topik lingkungan
21,belajar tes psikotes
22,merapikan file musik
23,merapikan kolong kasur
24,tidak mendengarkan musik
25,menghitung uang receh di kamar
26,inventaris barang di kamar
27,kerjakan soal differensial sebanyak 10
28,mendengarkan lagu yang tidak disukai
29,main ke rumah temen
30,mengukur barang besar di kamar
